country_id,indicator_id,year,value
ABW,POP,2008,100917.0
ABW,POP,2009,101604.0
ABW,POP,2010,101838.0
ABW,POP,2011,102591.0
ABW,POP,2012,104110.0
ABW,POP,2013,105675.0
ABW,POP,2014,106807.0
ABW,POP,2015,107906.0
ABW,POP,2016,108727.0
ABW,POP,2017,108735.0
ABW,POP,2018,108908.0
ABW,POP,2019,109203.0
ABW,REN,2008,0.2
ABW,REN,2009,0.3
ABW,REN,2010,5.5
ABW,REN,2011,5.7
ABW,REN,2012,6.9
ABW,REN,2013,6.9
ABW,REN,2014,6.9
ABW,REN,2015,6.7
ABW,REN,2016,7.0
ABW,REN,2017,6.8
ABW,REN,2018,8.6
ABW,REN,2019,8.3
AFE,CHE,2008,5.886537846
AFE,CHE,2009,6.406822425
AFE,CHE,2010,6.443953553
AFE,CHE,2011,6.353892126
AFE,CHE,2012,6.167488229
AFE,CHE,2013,6.161271366
AFE,CHE,2014,5.82088066
AFE,CHE,2015,5.971390592
AFE,CHE,2016,6.067786409
AFE,CHE,2017,5.92901714
AFE,CHE,2018,5.789154817
AFE,CHE,2019,5.812675719
AFE,GEM,2008,1838.340576
AFE,GEM,2009,1827.963215
AFE,GEM,2010,1901.161182
AFE,GEM,2011,2041.05186
AFE,GEM,2012,2099.943154
AFE,GEM,2013,2116.608982
AFE,GEM,2014,2174.071849
AFE,GEM,2015,1647.336418
AFE,GEM,2016,1659.415221
AFE,GEM,2017,1698.146022
AFE,GEM,2018,1727.080408
AFE,GEM,2019,1753.197308
AFE,POP,2008,502070763.0
AFE,POP,2009,516003448.0
AFE,POP,2010,530308387.0
AFE,POP,2011,544737983.0
AFE,POP,2012,559609961.0
AFE,POP,2013,575202699.0
AFE,POP,2014,590968990.0
AFE,POP,2015,607123269.0
AFE,POP,2016,623369401.0
AFE,POP,2017,640058741.0
AFE,POP,2018,657801085.0
AFE,POP,2019,675950189.0
AFE,REN,2008,61.9080266133138
AFE,REN,2009,61.3046006287143
AFE,REN,2010,62.8763868126774
AFE,REN,2011,62.8052791594478
AFE,REN,2012,61.4099642987411
AFE,REN,2013,60.8017990466951
AFE,REN,2014,61.2358816947099
AFE,REN,2015,61.6702780479896
AFE,REN,2016,61.8228841937413
AFE,REN,2017,61.4269497576408
AFE,REN,2018,61.5875298317964
AFE,REN,2019,62.6907096127666
AFE,SR,2008,13.50385822
AFE,SR,2009,13.88021739
AFE,SR,2010,14.25522933
AFE,SR,2011,14.61986591
AFE,SR,2012,14.97556433
AFE,SR,2013,15.32842623
AFE,SR,2014,15.6790897
AFE,SR,2015,16.0265203
AFE,SR,2016,16.37114147
AFE,SR,2017,16.71219086
AFE,SR,2018,17.04991603
AFE,SR,2019,17.38598241
AFE,SU,2008,32.85033279
AFE,SU,2009,32.87209538
AFE,SU,2010,32.88827387
AFE,SU,2011,33.0558597
AFE,SU,2012,33.22390318
AFE,SU,2013,33.40046496
AFE,SU,2014,33.56434891
AFE,SU,2015,33.74753648
AFE,SU,2016,33.81094949
AFE,SU,2017,33.83328358
AFE,SU,2018,33.89168594
AFE,SU,2019,33.91088756
AFE,WR,2008,33.35163134
AFE,WR,2009,34.28337162
AFE,WR,2010,35.21276241
AFE,WR,2011,36.20061169
AFE,WR,2012,37.09961907
AFE,WR,2013,37.99752867
AFE,WR,2014,38.89878306
AFE,WR,2015,39.81216947
AFE,WR,2016,40.70173576
AFE,WR,2017,41.66287497
AFE,WR,2018,42.59663412
AFE,WR,2019,43.52037714
AFE,WU,2008,79.15803346
AFE,WU,2009,79.26423019
AFE,WU,2010,79.37182419
AFE,WU,2011,79.1999093
AFE,WU,2012,79.34055687
AFE,WU,2013,79.47980306
AFE,WU,2014,79.62291651
AFE,WU,2015,79.78046932
AFE,WU,2016,79.89542773
AFE,WU,2017,79.94485561
AFE,WU,2018,80.08564721
AFE,WU,2019,80.1869928
AFG,CHE,2008,10.25649548
AFG,CHE,2009,9.81848717
AFG,CHE,2010,8.56967163
AFG,CHE,2011,8.56190777
AFG,CHE,2012,7.89716864
AFG,CHE,2013,8.80596447
AFG,CHE,2014,9.52887821
AFG,CHE,2015,10.10534763
AFG,CHE,2016,11.81859016
AFG,CHE,2017,12.62081718
AFG,CHE,2018,14.20841885
AFG,CHE,2019,14.83131981
AFG,GEM,2008,30.6631
AFG,GEM,2009,33.6092
AFG,GEM,2010,37.483
AFG,GEM,2011,41.5627
AFG,GEM,2012,39.4392
AFG,GEM,2013,37.8004
AFG,GEM,2014,37.9661
AFG,GEM,2015,37.9543
AFG,GEM,2016,37.18
AFG,GEM,2017,38.2379
AFG,GEM,2018,38.0993
AFG,GEM,2019,37.5288
AFG,POP,2008,26482622.0
AFG,POP,2009,27466101.0
AFG,POP,2010,28284089.0
AFG,POP,2011,29347708.0
AFG,POP,2012,30560034.0
AFG,POP,2013,31622704.0
AFG,POP,2014,32792523.0
AFG,POP,2015,33831764.0
AFG,POP,2016,34700612.0
AFG,POP,2017,35688935.0
AFG,POP,2018,36743039.0
AFG,POP,2019,37856121.0
AFG,REN,2008,21.2
AFG,REN,2009,16.5
AFG,REN,2010,15.2
AFG,REN,2011,12.6
AFG,REN,2012,15.4
AFG,REN,2013,16.9
AFG,REN,2014,19.1
AFG,REN,2015,17.7
AFG,REN,2016,20.2
AFG,REN,2017,19.5
AFG,REN,2018,18.3
AFG,REN,2019,18.9
AFG,WR,2008,36.02315403
AFG,WR,2009,38.62920588
AFG,WR,2010,41.27449103
AFG,WR,2011,43.95900946
AFG,WR,2012,46.68276118
AFG,WR,2013,49.44574619
