Data Source;World Development Indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;7/10/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
China;CHN;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4514,0686;4707,4027;5037,9171;5745,0074;6605,0941;7462,4188;8206,9411;8767,1538;8943,1692;9516,758;10329,5873;11275,1811;11586,5646;12086,4116;12198,456;11980,9208;11926,8097;12142,4819;12694,9261;12973,8335;13155,2701;13829,12;13813,1429;14597,4875;
Cote d'Ivoire;CIV;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87,9855;86,8238;87,1819;87,1531;88,0308;89,5353;92,345;91,5632;92,3044;94,5057;94,7002;96,8732;99,3474;101,6591;103,1352;93,2435;91,1529;88,8956;85,2982;87,1778;87,2556;86,2054;86,8455;86,8608;
Cameroon;CMR;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-46,2297;-46,1454;-47,2841;-46,5853;-46,8256;-46,6493;-47,3484;-46,504;-46,7209;-45,9358;-46,3125;-46,6932;-45,9291;-43,919;-41,6382;-38,605;-38,4061;-39,6573;-39,2993;-38,5976;-37,8268;-37,7137;-37,1128;-37,2248;
Congo, Dem. Rep.;COD;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;443,1314;440,6989;440,0378;441,1316;441,6201;442,2961;442,7852;443,7012;444,2925;444,3381;447,4106;555,0035;561,6635;565,2824;569,0967;47,7873;48,2614;50,8983;50,2948;51,8934;53,1264;54,568;57,9223;58,4386;
Congo, Rep.;COG;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,796;4,8578;-2,5907;-1,3483;-0,6436;2,4744;3,985;0,4442;-0,2237;0,966;2,2792;0,9096;-0,3517;-1,4219;-1,4793;-5,7523;-10,1638;-8,3977;-4,4872;-3,3318;9,7219;4,8852;5,4816;5,4566;
Colombia;COL;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;257,9038;238,3616;237,0339;252,9012;252,2566;240,5758;237,2345;243,6921;240,787;238,6591;244,2901;258,0333;255,2451;247,5392;252,7746;246,9536;277,592;297,2419;299,6667;286,755;294,5437;304,0855;309,1153;319,9758;
Comoros;COM;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1,9425;-1,899;-1,8474;-1,7838;-1,7231;-1,7016;-1,6495;-1,6824;-1,6562;-1,6018;-1,5344;-1,5022;-1,4501;-1,3731;-1,3489;-1,3522;-1,3362;-1,2934;-1,2835;-1,2499;-1,5279;-1,3664;-1,3823;-1,3782;
Cabo Verde;CPV;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,5025;0,5313;0,5679;0,5043;0,54;0,7597;0,8143;0,8896;0,8674;0,8539;0,8987;1,0323;0,9163;0,9059;0,9493;0,9649;1,0011;1,0261;1,0239;1,0743;1,1307;1,1539;1,2017;1,1725;
Costa Rica;CRI;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28,5335;26,2679;23,8565;21,8431;19,6596;17,2152;17,3137;18,133;17,972;17,4589;17,2727;17,2535;18,0358;19,0502;13,148;14,6913;13,4173;12,3793;12,8906;12,7823;11,2988;12,6131;12,8538;13,3948;
Caribbean small states;CSS;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-133,9507359;-126,9928562;-126,6977158;-126,568882;-126,8466486;-121,1958165;-117,7599577;-118,2183449;-120,5339361;-121,2038731;-116,3923818;-110,8965157;-112,1084113;-113,8645413;-109,457142;-115,2868462;-121,2754095;-126,3524469;-126,5612882;-118,6741205;-123,6180935;-127,0801915;-126,7859915;;
Cuba;CUB;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31,4027;29,1647;27,6187;26,1806;24,6866;24,2546;25,3344;25,1937;24,6973;24,3012;24,0183;24,2495;24,7927;23,6771;20,6955;22,3325;20,0199;18,059;17,7106;16,1185;11,277;10,1506;10,4707;11,6342;
Curacao;CUW;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cayman Islands;CYM;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cyprus;CYP;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,9766;7,8739;8,0623;8,7215;8,6661;8,7655;8,8806;9,2192;9,3596;9,1287;9,1926;8,9123;8,3161;7,5928;7,9823;8,0683;8,5939;8,6886;8,9282;9,4514;9,0301;9,3697;9,7757;10,0128;
Czechia;CZE;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;148,2029;148,245;142,665;146,1506;147,1619;143,9443;146,481;148,4643;141,1547;134,4159;136,8907;133,8332;129,2974;125,3509;123,4626;124,967;126,9934;129,2577;132,6979;132,6025;125,4154;127,8439;125,3441;110,8605;
Germany;DEU;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1032,2223;1032,0628;1042,5795;1056,9417;1027,1505;997,001;994,6972;957,1029;950,815;888,8802;939,5093;904,3608;918,8692;933,4453;904,871;905,0607;911,122;888,7698;937,7637;873,169;818,8938;838,3694;830,1444;741,7049;
